2022-05-12 08:44:42,063 [1] INFO  Photon.StarDust.Client.Program - Starting 5 games with 3 players
2022-05-12 08:44:42,703 [4] INFO  Photon.StarDust.Client.Program - [3588] Started game WIN-IAL3GGSVRSQ(3588)1 with 3 clients
2022-05-12 08:44:43,414 [4] INFO  Photon.StarDust.Client.Program - [3588] Started game WIN-IAL3GGSVRSQ(3588)2 with 3 clients
2022-05-12 08:44:44,222 [19] DEBUG Photon.StarDust.Client.Program - peers: 0, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-05-12 08:44:44,231 [4] INFO  Photon.StarDust.Client.Program - [3588] Started game WIN-IAL3GGSVRSQ(3588)3 with 3 clients
2022-05-12 08:44:44,818 [4] INFO  Photon.StarDust.Client.Program - [3588] Started game WIN-IAL3GGSVRSQ(3588)4 with 3 clients
2022-05-12 08:44:45,214 [36] DEBUG Photon.StarDust.Client.Program - peers: 0, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-05-12 08:44:45,260 [4] INFO  Photon.StarDust.Client.Program - [3588] Started game WIN-IAL3GGSVRSQ(3588)5 with 3 clients
2022-05-12 08:44:46,219 [17] DEBUG Photon.StarDust.Client.Program - peers: 0, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-05-12 08:44:47,234 [17] DEBUG Photon.StarDust.Client.Program - peers: 0, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-05-12 08:44:48,458 [36] DEBUG Photon.StarDust.Client.Program - peers: 0, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-05-12 08:44:49,462 [36] DEBUG Photon.StarDust.Client.Program - peers: 0, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-05-12 08:44:50,465 [19] DEBUG Photon.StarDust.Client.Program - peers: 0, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-05-12 08:44:51,477 [4] DEBUG Photon.StarDust.Client.Program - peers: 0, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-05-12 08:44:52,482 [19] DEBUG Photon.StarDust.Client.Program - peers: 0, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-05-12 08:44:53,496 [36] DEBUG Photon.StarDust.Client.Program - peers: 0, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
